pid,night_number,condition,episode_index,train_index,disruptive_took_place,disruptive_start_epoch_sec,first_induction_epoch_sec,train_end_epoch_sec,train_duration_sec,induction_cues_count
269962413216,2,3,7,0,True,17773,17890,17901,,3
269962413216,2,3,8,0,True,21771,21888,21934,,10
269962413216,2,3,8,1,True,22228,22345,22346,,1
269962413216,8,4,3,0,False,15350,15469,15470,120,1
269962413216,8,4,6,0,False,16616,16735,16736,120,1
269962413216,8,4,13,0,False,17561,17680,17716,155,8
269962413216,8,4,13,1,False,18014,18134,18155,141,5
269962413216,8,4,13,2,False,18453,18573,18593,140,4
269962413216,5,5,7,0,False,17561,17680,17706,145,6
269962413216,5,5,7,1,False,18004,18124,18145,141,5
269962413216,5,5,11,0,False,18646,18765,18960,314,39
269962413216,5,5,11,1,False,18960,19079,19091,131,3
269962413216,5,5,31,0,False,20481,20600,20651,170,11
269962413216,6,6,0,0,True,14521,14640,14641,120,1
269962413216,6,6,9,0,True,24818,24937,24948,130,3
269962413216,6,6,9,1,True,25246,25366,25367,121,1
269962413216,6,6,10,0,True,25725,25844,25855,130,3
269962413216,6,6,10,1,True,26153,26273,26279,126,2
289492683306,2,1,0,0,True,14521,14640,14646,125,2
289492683306,2,1,3,0,True,16529,16648,16649,120,1
289492683306,2,1,5,0,True,16995,17114,17220,225,22
289492683306,2,1,5,1,True,17518,17638,17639,121,1
289492683306,2,1,6,0,True,17957,18076,18106,149,6
299342693996,2,6,0,0,True,18120,18240,18241,121,1
299342693996,2,6,2,0,True,22043,22163,22250,207,29
299342693996,2,6,2,1,True,22250,22370,22420,170,17
299342693996,2,6,3,0,True,23669,23789,23876,207,29
299342693996,2,6,3,1,True,23876,23996,24083,207,29
299342693996,3,4,0,0,False,14521,14641,14700,179,20
299342693996,3,4,1,0,False,15121,15241,15300,179,20
299342693996,3,4,2,0,False,18090,18210,18233,143,8
299342693996,3,4,2,1,False,18533,18653,18674,141,7
299342693996,3,4,2,2,False,18674,18794,18799,125,2
299542783686,5,1,0,0,True,16964,17084,17086,122,1
299542783686,11,6,2,0,True,22808,22928,22929,121,1
299542783686,11,6,7,0,True,24876,24996,25083,207,29
299542783686,11,6,7,1,True,25083,25203,25260,177,19
299542783686,18,3,0,0,True,16267,16387,16474,,29
299542783686,18,3,0,1,True,16474,16594,16595,,1
299542783686,21,5,3,0,False,24868,24988,24989,121,1
299542783686,21,5,4,0,False,27169,27289,27376,207,29
299542783686,21,5,4,1,False,27376,27496,27583,207,29
299542783686,21,5,4,2,False,27583,27703,27704,121,1
299542783686,21,5,5,0,False,30217,30337,30387,170,17
299542783686,1,1,0,0,True,15577,15697,15765,188,23
299542783686,1,1,1,0,True,16308,16428,16487,179,20
299542783686,1,1,2,0,True,18568,18688,18775,207,29
299542783686,1,1,2,1,True,18775,18895,18981,206,29
299542783686,1,1,2,2,True,19281,19401,19402,121,1
299542783686,20,1,0,0,True,17427,17547,17558,131,4
299542783686,20,1,2,0,True,19252,19372,19459,207,29
299542783686,20,1,2,1,True,19459,19579,19666,207,29
299542783686,20,1,2,2,True,19666,19786,19812,146,9
299542783686,20,1,3,0,True,22381,22501,22503,122,1
299542783686,12,2,0,0,True,15751,15871,15951,200,27
299542783686,12,2,2,0,True,17455,17575,17599,144,8
299542783686,10,4,0,0,False,16980,17100,17150,170,17
299542783686,10,4,0,1,False,17450,17570,17602,152,11
299542783686,10,4,1,0,False,19053,19173,19202,149,10
299542783686,10,4,2,0,False,19691,19811,19869,178,20
299542783686,10,4,6,0,False,28046,28166,28195,149,10
299542783686,3,2,0,0,True,15764,15884,15971,207,29
299542783686,3,2,0,1,True,15971,16091,16117,146,9
299542783686,3,2,0,2,True,16417,16537,16538,121,1
299542783686,6,5,1,0,False,19649,19769,19774,125,2
299542783686,6,5,2,0,False,20478,20598,20599,121,1
309772723476,8,1,0,0,True,14772,14891,14978,206,29
309772723476,8,1,0,1,True,14978,15097,15098,120,1
309772723476,8,1,13,0,True,22041,22160,22247,206,29
309772723476,8,1,13,1,True,22247,22366,22368,121,1
309772723476,8,1,15,0,True,23779,23898,23981,202,28
309772723476,9,1,0,0,True,14772,14891,14978,206,29
309772723476,9,1,0,1,True,14978,15097,15098,120,1
309772723476,9,1,13,0,True,22041,22160,22247,206,29
309772723476,9,1,13,1,True,22247,22366,22368,121,1
309772723476,9,1,15,0,True,23779,23898,23981,202,28
309772723476,10,1,0,0,True,14772,14891,14978,206,29
309772723476,10,1,0,1,True,14978,15097,15098,120,1
309772723476,10,1,13,0,True,22041,22160,22247,206,29
309772723476,10,1,13,1,True,22247,22366,22368,121,1
309772723476,10,1,15,0,True,23779,23898,23981,202,28
309772723476,1,2,20,0,True,16266,16385,16386,120,1
309772723476,1,2,55,0,True,20572,20691,20692,120,1
309772723476,1,2,56,0,True,21085,21204,21244,159,13
329182283526,1,3,0,0,True,14521,14641,14649,,3
329182283526,1,3,0,1,True,14949,15069,15070,,1
329182283526,1,3,1,0,True,15421,15541,15542,,1
329182283526,1,3,4,0,True,16846,16966,16967,,1
329182283526,1,3,8,0,True,19053,19173,19232,,20
349462673936,3,3,0,0,True,14521,14641,14679,,13
349462673936,3,3,1,0,True,15109,15229,15316,,29
349462673936,3,3,1,1,True,15316,15436,15523,,29
349462673936,3,3,1,2,True,15523,15643,15730,,29
349462673936,3,3,2,0,True,18760,18880,18882,,1
349462673936,2,4,0,0,False,20443,20563,20584,141,6
349462673936,2,4,1,0,False,21002,21122,21145,143,6
379172703886,9,2,0,0,True,16990,17110,17111,121,1
379172703886,9,2,2,0,True,17489,17609,17610,121,1
379172703886,9,2,5,0,True,17865,17985,18065,200,27
379172703886,9,2,5,1,True,18365,18485,18548,183,21
379172703886,9,2,5,2,True,18548,18668,18669,121,1
379172703886,18,4,0,0,False,17708,17828,17837,129,3
379172703886,18,4,0,1,False,18137,18257,18266,129,3
379172703886,18,4,0,2,False,18566,18686,18695,129,3
379172703886,18,4,13,0,False,20297,20417,20428,131,4
379172703886,18,4,14,0,False,20848,20968,20977,129,3
379172703886,11,2,1,0,True,17070,17190,17191,121,1
379172703886,11,2,5,0,True,25002,25122,25174,172,18
379172703886,11,2,9,0,True,25549,25669,25756,207,29
379172703886,11,2,9,1,True,25756,25876,25905,149,10
379172703886,11,2,16,0,True,27097,27217,27225,128,3
379172703886,20,7,2,0,True,14876,14996,14997,121,1
379172703886,20,7,3,0,True,15405,15525,15526,121,1
