"term","estimate","std.error","statistic","p.value","outcome","model_type"
"condition3",-0.163099841702768,0.214265125543482,-0.761205731866383,0.446534195199724,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition4",-0.28894267101202,0.233989586504689,-1.23485269292627,0.216885332437862,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition5",-0.0672532125688144,0.222819876330181,-0.301827707996556,0.762783407417592,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition6",0.036087645684348,0.23579832501062,0.153044537880931,0.878363152829983,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition7",0.122102226321697,0.223383207417027,0.546604320591334,0.584650600121662,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","linear"
"condition1",0.979227307716652,0.642829169213063,1.52330876477712,0.127681475366078,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition2",0.14718822064829,0.680661715164546,0.216242837475746,0.828798463891599,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition3",-0.359894823671837,0.652539123567882,-0.55152987870527,0.581270490328666,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition4",-0.608568015833632,0.732759241204723,-0.830515647722287,0.406247304516685,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition5",-0.119751273929946,0.682468127438708,-0.175467936326009,0.860711962995972,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition6",0.212229233425156,0.711902609407943,0.298115543643894,0.76561497854608,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition7",0.413681051448412,0.676200370736832,0.611772884711137,0.540688032105647,"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.","ordinal"
"condition1",0.0999547099482059,0.223701598648733,0.446821616617767,0.655003862246518,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition2",0.0611663288876285,0.234865531885728,0.260431270593544,0.79453112446607,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition3",-0.266858461418986,0.227300790256234,-1.17403226411206,0.240382102644459,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition4",-0.0137623947043714,0.247250918947627,-0.0556616523932376,0.955611349073598,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition5",-0.0370250017233975,0.236436625301778,-0.156595881353577,0.875563348701303,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition6",0.206708172510621,0.249995800043981,0.826846580919582,0.40832402431642,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition7",0.166657063876277,0.237537391220508,0.701603495011731,0.482926471421907,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","linear"
"condition1",-0.189390909303536,0.651621067272149,-0.290645773772132,0.771322248139429,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition2",-0.0562088351273991,0.658378143754573,-0.0853746979005918,0.931963507856628,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition3",-0.720953546819622,0.638447793234947,-1.12922866122949,0.258801386003569,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition4",-0.275469470858404,0.706610119507971,-0.389846484296346,0.696650068337056,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition5",-0.188448218302296,0.663125288473804,-0.284181920939878,0.776270969558907,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition6",0.502761625896921,0.692370511706275,0.726145347608634,0.467749671735897,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition7",0.294051044528507,0.659727641761229,0.445715816520132,0.655802538077529,"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.","ordinal"
"condition1",0.188230611864351,0.271325283897848,0.693745194551121,0.487842017922314,"I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.","linear"
